Cabinet_Id,Address,Postcode,Attributes,State,PhoneNumber,id
08917513X2,"  4 FORTESCUE DRV CNR NEWMAN DRV, NEWMAN",6753,"Coin and Card Payphone,Incoming Calls",WA," PH:0891751005",161131
08918952X2,"  84 ASHBURTON CRT O/S POST OFFICE, PARABURDOO",6754,"Coin and Card Payphone,Incoming Calls",WA," PH:0891895202",161132
08917620Y2,"  15 COOKE ST NR WALKER ST, NULLAGINE",6758,"Card Payphone,Incoming Calls",WA," PH:0891762038",161133
03964209X1,"  91 SPENCER ST STHN CONC WAIT RM, DOCKLANDS",3008,"Coin and Card Payphone,Incoming Calls",VIC," PH:0396424521",161134
03965479X2,"  87 SPRING ST PARLIAMENT RWS, MELBOURNE",3000,"Coin and Card Payphone,Incoming Calls",VIC," PH:0396544537",161135
03960241X2,"PLATFM 3 307 WILLIAM ST FLAGSTAFF RWLY STN, MELBOURNE",3000,"Coin and Card Payphone,Incoming Calls",VIC," PH:0396023546",161136
03965427X2,"  151 WELLINGTON PDE O/S JOLIMONT RWS, EAST MELBOURNE",3002,"Coin and Card Payphone,Incoming Calls",VIC," PH:0396542965",161137
03958425X2,"  6 COMO PDE O/S C'WEALTH BANK, MENTONE",3194,"Coin and Card Payphone,Incoming Calls,WIFI Hotspot",VIC," PH:0395841156",161138
03958305X2,"  6 COMO PDE O/S C'WEALTH BANK, MENTONE",3194,"Coin and Card Payphone,Incoming Calls",VIC," PH:0395831275",161139
03538100X2,"  4495 HENTY HWY O/S GENERAL STORE, HAVEN",3401,"Coin and Card Payphone,Incoming Calls",VIC," PH:0353811484",161140
03535660X1,"  650 MOKEPILLY RD IN HOLIDAY PARK, LAKE FYANS",3381,"Coin and Card Payphone,Incoming Calls",VIC," PH:0353566203",161141
03533307X2,"  130 LYDIARD ST BALLARAT RWLY STN, BALLARAT CENTRAL",3350,"Coin and Card Payphone,Incoming Calls",VIC," PH:0353334536",161142
03535660X2,"  3408 ARARAT-HALLS GAP RD O/S GENERAL STORE, POMONAL",3381,"Coin and Card Payphone,Incoming Calls",VIC," PH:0353566200",161143
03535640X2,"  95 GRAMPIANS RD OS CARAVAN PARK, HALLS GAP",3381,"Coin and Card Payphone,Incoming Calls",VIC," PH:0353564200",161144
03535642X2,"  117 GRAMPIANS RD NR VISITORS CTE, HALLS GAP",3381,"Coin and Card Payphone,Incoming Calls",VIC," PH:0353564332",161145
03559210X2,"  48 SWANSTON ST TERANG RWLY STN, TERANG",3264,"Coin and Card Payphone,Incoming Calls",VIC," PH:0355921208",161146
03559314X2,"  20 LONGMORE ST O/S CAMPERDOWN RWS, CAMPERDOWN",3260,"Coin and Card Payphone,Incoming Calls,WIFI Hotspot",VIC," PH:0355931447",161147
03559830X2,"  13 MAIN ST NR POST OFFICE, TIMBOON",3268,"Coin and Card Payphone,Incoming Calls,WIFI Hotspot",VIC," PH:0355983100",161148
07478721X2,"  1 FLINDERS HWY BURDEKIN DUCK R/HS, BREDDAN",4820,"Coin and Card Payphone,Incoming Calls",QLD," PH:0747872148",161149
02645425X2,"  3 ILLAWONG RD OS CARAVAN PARK, ANGLERS REACH",2629,"Coin and Card Payphone,Incoming Calls",NSW," PH:0264542493",161150
02435816X2,"LOT 426 0 KARIOLA ST MACQUARIE LAKESIDE, CHAIN VALLEY BAY",2259,"Coin and Card Payphone,Incoming Calls",NSW," PH:0243581205",161151
07553614X1,"  2 AIRPORT RD INT ARRIVALS, BILINGA",4225,"Coin and Card Payphone,Incoming Calls",QLD," PH:0755369103",161152
08821206X2,"  21 KING WILLIAM ST NR GRESHAM PL, ADELAIDE",5000,"Coin and Card Payphone,Incoming Calls,WIFI Hotspot",SA," PH:0882125143",161153
08823202X1,"  17 CHARLES ST CHARLES ST PLAZA, ADELAIDE",5000,"Coin and Card Payphone,TTY,Incoming Calls",SA," PH:0882325659",161154
08826804X2,"  726 PORT RD NR HOWARD ST, BEVERLEY",5009,"Coin and Card Payphone,Incoming Calls,WIFI Hotspot",SA," PH:0882684109",161155
08825800X1,"  53 NORTHBRI AVE MANOR FARM SHOPPIN, SALISBURY EAST",5109,"Coin and Card Payphone,Incoming Calls",SA," PH:0882583309",161156
08834042X2,"  507 PORT RD E OF MINNIE ST, WEST CROYDON",5008,"Coin and Card Payphone,Incoming Calls",SA," PH:0883403098",161157
08873840X2,"  10 CASUARINA GR KYWONG C/V PK ENT, NELSON",3292,"Coin and Card Payphone,Incoming Calls",VIC," PH:0887384060",161158
08897223X2,"  56 CALLISTEMON DRV NR GLENCOE CRT, KATHERINE EAST",850,"Coin and Card Payphone,Incoming Calls",NT," PH:0889722676",161159
